Startup Name;Industry;Funding Rounds; Investment Amount (USD)  ;Investment Amount (K USD) ; Valuation (USD) ;Valuation (K USD);Number of Investors;Country;Year Founded;Growth Rate (%);Ranking by value;Old;ROI (%);Average investment per round (K USD) 
Startup_1025;HealthTech;8; $129.588.630.143 ;129588,63; $392.256.041.007.785 ;392256041,01;23;France;2021; 6.756 ;Superunicorn;4;3025,932537;5634,288267
Startup_1026;Biotech;5; $342.528.395.111 ;342528,40; $996.754.896.032.924 ;996754896,03;30;Canada;2020; 975 ;Superunicorn;5;2908,992019;11417,61317
Startup_1027;EdTech;9; $1.547.678.996 ;1547,68; $5.935.109.610.737.260 ;5935109610,74;36;Brazil;2005; 13.448 ;Superunicorn;20;3834844,356;42,99108322
Startup_1028;SaaS;5; $467.942.983.107 ;467942,98; $20.491.969.215.474.600 ;20491969215,47;9;Brazil;2011; 17.233 ;Superunicorn;14;43790,59418;51993,66479
Startup_1029;E-commerce;4; $481.857.991.974 ;481857,99; $22.372.951.233.904.000 ;22372951233,90;13;China;2016; 10.245 ;Superunicorn;9;46429,59077;37065,99938
Startup_1030;E-commerce;6; $75.321.813.438 ;75321,81; $3.184.983.760.845.650 ;3184983760,85;17;Germany;2022; 18.663 ;Superunicorn;3;42284,01168;4430,694908
Startup_1031;E-commerce;1; $153.664.644.471 ;153664,64; $7.476.035.115.749.270 ;7476035115,75;47;France;2023; 12.024 ;Superunicorn;2;48650,62798;3269,460521
Startup_1032;E-commerce;8; $338.218.088.485 ;338218,09; $949.930.241.021.077 ;949930241,02;40;France;2017; 2.202 ;Superunicorn;8;2807,63228;8455,452212
Startup_1033;Fintech;5; $399.906.028.524 ;399906,03; $10.422.706.240.820.900 ;10422706240,82;13;Singapore;2022; 962 ;Superunicorn;3;26061,88852;30762,00219
Startup_1034;EdTech;1; $364.848.336.096 ;364848,34; $8.799.641.034.250.930 ;8799641034,25;11;Australia;2018; 10.457 ;Superunicorn;7;24117,62729;33168,03055
Startup_1035;Fintech;2; $251.883.774.806 ;251883,77; $7.845.965.902.972.750 ;7845965902,97;27;USA;2005; 8.004 ;Superunicorn;20;31148,15166;9329,028697
Startup_1036;HealthTech;7; $2.569.199.186 ;2569,20; $6.378.338.837.681.870 ;6378338837,68;3;USA;2009; 4.008 ;Superunicorn;16;2482616,491;856,3997287
Startup_1037;Biotech;10; $25.160.983.981 ;25160,98; $1.082.129.686.843.220 ;1082129686,84;18;USA;2003; 17.675 ;Superunicorn;22;43007,24195;1397,832443
Startup_1038;Blockchain;5; $466.246.757.277 ;466246,76; $21.120.896.747.396.600 ;21120896747,40;31;China;2020; 1.317 ;Superunicorn;5;45298,82551;15040,21798
Startup_1039;E-commerce;9; $380.325.575.267 ;380325,58; $17.566.626.505.458.400 ;17566626505,46;29;Australia;2008; 10.587 ;Superunicorn;17;46187,39134;13114,67501
Startup_1040;E-commerce;7; $132.444.159.858 ;132444,16; $4.583.200.989.365.100 ;4583200989,37;22;India;2016; 12.401 ;Superunicorn;9;34603,77981;6020,189084
Startup_1041;Fintech;1; $6.558.219.984 ;6558,22; $2.732.221.037.515.160 ;2732221037,52;6;USA;2007; 10.143 ;Superunicorn;18;416609,154;1093,036664
Startup_1042;SaaS;5; $297.029.852.105 ;297029,85; $10.918.067.636.042.800 ;10918067636,04;18;Singapore;2018; 9.984 ;Superunicorn;7;36756,47592;16501,65845
Startup_1043;EdTech;5; $18.231.378.457 ;18231,38; $4.353.247.651.364.020 ;4353247651,36;36;Brazil;2016; 16.604 ;Superunicorn;9;238776,7568;506,4271794
Startup_1044;SaaS;2; $12.317.381.177 ;12317,38; $39.945.932.788.730.100 ;39945932788,73;25;France;2001; 4.283 ;Superunicorn;24;3243053,04;492,6952471
Startup_1045;HealthTech;4; $150.318.732.293 ;150318,73; $6.536.681.229.983.300 ;6536681229,98;19;Singapore;2009; 8.448 ;Superunicorn;16;43484,47337;7911,512226
Startup_1046;E-commerce;9; $47.549.701.762 ;47549,70; $19.972.589.103.986.800 ;19972589103,99;47;China;2019; 56 ;Superunicorn;6;420035,0541;1011,695782
Startup_1047;Biotech;1; $190.152.620.144 ;190152,62; $5.740.203.440.437.520 ;5740203440,44;24;Brazil;2021; 5.487 ;Superunicorn;4;30186,34865;7923,025839
Startup_1048;SaaS;10; $491.104.642.349 ;491104,64; $1.370.075.533.784.610 ;1370075533,78;49;Australia;2020; 9.918 ;Superunicorn;5;2788,783308;10022,54372
Startup_1049;AI;10; $329.826.325.464 ;329826,33; $12.020.284.198.723.100 ;12020284198,72;38;UK;2017; 12.635 ;Superunicorn;8;36443,28377;8679,640144
Startup_1050;Blockchain;1; $295.558.222.729 ;295558,22; $5.432.530.692.991.550 ;5432530692,99;47;Canada;2022; 6.612 ;Superunicorn;3;18379,57707;6288,472824
Startup_1051;E-commerce;6; $197.697.848.236 ;197697,85; $8.717.352.056.990.500 ;8717352056,99;13;Brazil;2010; 12.661 ;Superunicorn;15;44093,31936;15207,52679
Startup_1052;Blockchain;8; $425.079.589.943 ;425079,59; $7.400.427.740.346.780 ;7400427740,35;34;Germany;2020; 11.279 ;Superunicorn;5;17408,51087;12502,34088
Startup_1053;Fintech;3; $315.431.152.222 ;315431,15; $12.449.593.916.329.200 ;12449593916,33;4;Singapore;2003; 17.652 ;Superunicorn;22;39467,49837;78857,78806
Startup_1054;E-commerce;6; $318.946.980.409 ;318946,98; $10.336.588.066.296.600 ;10336588066,30;19;Australia;2022; 15.032 ;Superunicorn;3;32407,48386;16786,68318
Startup_1055;Biotech;6; $105.744.758.341 ;105744,76; $3.301.868.495.622.860 ;3301868495,62;13;India;2012; 19.861 ;Superunicorn;13;31223,89046;8134,21218
Startup_1056;HealthTech;2; $451.281.297.073 ;451281,30; $7.745.521.579.627.980 ;7745521579,63;7;USA;2003; 8.708 ;Superunicorn;22;17162,40037;64468,75672
Startup_1057;HealthTech;9; $35.019.524.704 ;35019,52; $12.259.606.489.102.400 ;12259606489,10;43;Brazil;2016; 1.530 ;Superunicorn;9;350078,1799;814,4075513
Startup_1058;SaaS;8; $422.328.297.652 ;422328,30; $1.082.135.669.362.030 ;1082135669,36;17;Singapore;2015; 2.209 ;Superunicorn;10;2561,309169;24842,84104
Startup_1059;SaaS;7; $202.731.389.626 ;202731,39; $798.984.364.966.274 ;798984364,97;21;China;2010; 5.875 ;Superunicorn;15;3940,098448;9653,875696
Startup_1060;Fintech;10; $241.659.528.936 ;241659,53; $6.434.470.434.658.730 ;6434470434,66;19;India;2008; 17.226 ;Superunicorn;17;26625,18132;12718,92258
Startup_1061;E-commerce;4; $38.989.348.441 ;38989,35; $13.870.708.761.341.800 ;13870708761,34;38;Singapore;2006; 6.727 ;Superunicorn;19;355755,3621;1026,035485
Startup_1062;Fintech;10; $498.850.832.259 ;498850,83; $18.796.932.288.318.400 ;18796932288,32;17;USA;2003; 13.203 ;Superunicorn;22;37679,46693;29344,1666
Startup_1063;SaaS;1; $95.015.178.832 ;95015,18; $3.460.518.898.477.430 ;3460518898,48;16;Singapore;2018; 17.316 ;Superunicorn;7;36419,69552;5938,448677
Startup_1064;E-commerce;10; $369.621.829.737 ;369621,83; $6.957.983.875.776.320 ;6957983875,78;45;Germany;2008; 17.501 ;Superunicorn;17;18823,60211;8213,818439
Startup_1065;HealthTech;1; $49.060.877.665 ;49060,88; $9.747.354.163.535.540 ;9747354163,54;11;India;2002; 11.525 ;Superunicorn;23;198677,7564;4460,079788
Startup_1066;EdTech;8; $286.952.024.825 ;286952,02; $9.308.539.141.211.710 ;9308539141,21;27;Singapore;2013; 2.364 ;Superunicorn;12;32438,35688;10627,85277
Startup_1067;Blockchain;5; $479.801.654.022 ;479801,65; $8.323.794.286.717.790 ;8323794286,72;45;Brazil;2003; 7.587 ;Superunicorn;22;17347,40682;10662,25898
Startup_1068;Biotech;3; $7.034.166.761 ;7034,17; $18.191.368.018.955.000 ;18191368018,96;13;Singapore;2019; 2.287 ;Superunicorn;6;2586142,979;541,0897508
Startup_1069;HealthTech;8; $437.187.146.132 ;437187,15; $982.128.305.495.532 ;982128305,50;22;China;2006; 13.343 ;Superunicorn;19;2245,471138;19872,14301
Startup_1070;Biotech;5; $385.873.023.631 ;385873,02; $13.480.857.973.068.800 ;13480857973,07;37;India;2016; 8.629 ;Superunicorn;9;34934,99487;10429,00064
Startup_1071;E-commerce;10; $362.551.621.578 ;362551,62; $8.343.545.985.729.810 ;8343545985,73;12;USA;2003; 12.614 ;Superunicorn;22;23012,40137;30212,63513
Startup_1072;HealthTech;3; $55.789.882.678 ;55789,88; $21.132.469.685.882.000 ;21132469685,88;16;India;2009; 9.894 ;Superunicorn;16;378785,7741;3486,867667
Startup_1073;AI;2; $277.015.865.321 ;277015,87; $1.335.556.802.218.530 ;1335556802,22;34;China;2006; 19.725 ;Superunicorn;19;4820,228563;8147,525451
Startup_1074;EdTech;10; $317.423.214.976 ;317423,21; $9.817.393.545.561.350 ;9817393545,56;39;France;2010; 1.705 ;Superunicorn;15;30927,40436;8139,056794
Startup_1075;EdTech;5; $494.856.530.337 ;494856,53; $9.267.297.827.018.980 ;9267297827,02;17;Canada;2015; 19.971 ;Superunicorn;10;18726,24165;29109,20767
Startup_1076;HealthTech;5; $151.206.289.996 ;151206,29; $35.645.625.084.265.900 ;35645625084,27;12;France;2004; 13.364 ;Superunicorn;21;235740,6817;12600,52417
Startup_1077;Fintech;6; $22.273.270.183 ;22273,27; $790.330.119.733.945 ;790330119,73;27;Singapore;2012; 9.665 ;Superunicorn;13;35482,34453;824,9359327
Startup_1078;Fintech;9; $320.666.042.601 ;320666,04; $7.522.519.177.743.290 ;7522519177,74;13;USA;2013; 5.369 ;Superunicorn;12;23458,04517;24666,61866
Startup_1079;AI;10; $12.913.184.863 ;12913,18; $34.542.220.125.494.500 ;34542220125,49;4;Singapore;2012; 10.767 ;Superunicorn;13;2674956,456;3228,296216
Startup_1080;SaaS;2; $310.467.331.163 ;310467,33; $660.633.837.491.204 ;660633837,49;21;USA;2020; 17.835 ;Superunicorn;5;2126,86909;14784,15863
Startup_1081;Biotech;10; $171.667.160.215 ;171667,16; $2.815.791.228.790.680 ;2815791228,79;18;Canada;2001; 4.341 ;Superunicorn;24;16401,62019;9537,064456
Startup_1082;EdTech;10; $19.747.824.772 ;19747,82; $7.273.279.146.664.150 ;7273279146,66;41;India;2020; 9.737 ;Superunicorn;5;368306,8633;481,6542627
Startup_1083;AI;5; $159.348.063.147 ;159348,06; $2.580.257.545.764.150 ;2580257545,76;50;France;2013; 6.494 ;Superunicorn;12;16191,58807;3186,961263
Startup_1084;SaaS;6; $164.988.225.368 ;164988,23; $3.589.018.284.228.950 ;3589018284,23;48;Canada;2007; 19.148 ;Superunicorn;18;21752,1783;3437,254695
Startup_1085;Fintech;4; $229.947.821.466 ;229947,82; $10.670.945.375.174.700 ;10670945375,17;37;China;2022; 11.244 ;Superunicorn;3;46404,94247;6214,805986
Startup_1086;AI;9; $246.375.478.832 ;246375,48; $7.871.276.232.272.550 ;7871276232,27;46;France;2000; 11.103 ;Superunicorn;25;31947,294;5355,98867
Startup_1087;SaaS;7; $335.884.193.903 ;335884,19; $1.231.827.879.848.120 ;1231827879,85;28;Canada;2002; 12.276 ;Superunicorn;23;3666,41842;11995,86407
Startup_1088;Fintech;10; $19.829.750.359 ;19829,75; $7.115.946.374.856.700 ;7115946374,86;37;Canada;2018; 17.726 ;Superunicorn;7;358851,0403;535,9391989
Startup_1089;E-commerce;9; $267.049.973.064 ;267049,97; $5.912.264.293.021.010 ;5912264293,02;22;UK;2000; 14.361 ;Superunicorn;25;22138,16828;12138,63514
Startup_1090;EdTech;9; $33.690.336.080 ;33690,34; $10.168.496.271.882.600 ;10168496271,88;44;India;2000; 1.471 ;Superunicorn;25;301821,346;765,6894564
Startup_1091;SaaS;9; $223.402.068.798 ;223402,07; $6.020.222.191.962.370 ;6020222191,96;9;France;2019; 19.849 ;Superunicorn;6;26946,92499;24822,45209
Startup_1092;E-commerce;1; $207.064.165.815 ;207064,17; $5.419.707.076.014.770 ;5419707076,01;47;Australia;2021; 19.867 ;Superunicorn;4;26173,04636;4405,620549
Startup_1093;E-commerce;1; $243.136.905.287 ;243136,91; $6.367.006.128.274.730 ;6367006128,27;16;UK;2019; 6.873 ;Superunicorn;6;26185,9177;15196,05658
Startup_1094;AI;1; $408.498.521.968 ;408498,52; $20.060.012.944.945.600 ;20060012944,95;6;Brazil;2001; 14.901 ;Superunicorn;24;49105,69651;68083,08699
Startup_1095;E-commerce;2; $477.606.301.054 ;477606,30; $17.647.235.739.319.100 ;17647235739,32;25;Australia;2023; 9.842 ;Superunicorn;2;36948,3361;19104,25204
Startup_1096;Fintech;4; $23.428.786.382 ;23428,79; $6.189.663.439.535.780 ;6189663439,54;38;Brazil;2002; 8.099 ;Superunicorn;23;264189,5278;616,5470101
Startup_1097;Blockchain;9; $352.422.087.664 ;352422,09; $16.386.357.109.576.300 ;16386357109,58;50;Australia;2023; 16.868 ;Superunicorn;2;46495,39646;7048,441753
Startup_1098;EdTech;3; $84.994.744.839 ;84994,74; $28.352.337.670.892.100 ;28352337670,89;42;Brazil;2005; 14.353 ;Superunicorn;20;333576,5373;2023,684401
Startup_1099;HealthTech;4; $145.171.757.822 ;145171,76; $6.782.878.239.247.440 ;6782878239,25;40;Australia;2002; 19.798 ;Superunicorn;23;46722,12536;3629,293946
Startup_1100;EdTech;6; $81.307.370.606 ;81307,37; $3.687.774.229.773.350 ;3687774229,77;9;France;2023; 1.251 ;Superunicorn;2;45354,96468;9034,15229
Startup_1101;Biotech;6; $193.855.694.946 ;193855,69; $8.045.510.418.278.140 ;8045510418,28;29;France;2001; 19.399 ;Superunicorn;24;41501,57448;6684,679136
Startup_1102;Fintech;6; $195.476.806.709 ;195476,81; $5.554.028.790.808.920 ;5554028790,81;6;Canada;2012; 4.779 ;Superunicorn;13;28411,72519;32579,46778
Startup_1103;SaaS;1; $107.321.103.105 ;107321,10; $5.297.289.859.990.460 ;5297289859,99;19;Australia;2006; 7.748 ;Superunicorn;19;49358,25654;5648,479111
Startup_1104;Blockchain;9; $443.577.122.639 ;443577,12; $13.237.021.599.045.400 ;13237021599,05;23;UK;2018; 15.508 ;Superunicorn;7;29840,53358;19285,96185
Startup_1105;E-commerce;2; $308.470.274.941 ;308470,27; $9.261.345.420.577.190 ;9261345420,58;25;Brazil;2016; 11.121 ;Superunicorn;9;30022,46149;12338,811
Startup_1106;SaaS;2; $452.999.021.555 ;452999,02; $13.389.938.853.627.300 ;13389938853,63;7;Australia;2014; 15.052 ;Superunicorn;11;29557,42776;64714,14594
Startup_1107;Biotech;7; $206.123.799.142 ;206123,80; $992.545.246.207.077 ;992545246,21;11;Germany;2022; 8.036 ;Superunicorn;3;4814,28698;18738,52719
Startup_1108;Blockchain;10; $72.380.100.101 ;72380,10; $31.539.478.563.588.600 ;31539478563,59;24;Brazil;2006; 7.892 ;Superunicorn;19;435746,9268;3015,837504
Startup_1109;HealthTech;10; $183.437.710.563 ;183437,71; $6.591.551.369.523.080 ;6591551369,52;46;Canada;2017; 17.185 ;Superunicorn;8;35932,45855;3987,776317
Startup_1110;Fintech;9; $310.237.642.646 ;310237,64; $6.808.035.911.727.440 ;6808035911,73;16;USA;2011; 1.139 ;Superunicorn;14;21943,58369;19389,85267
Startup_1111;SaaS;1; $359.635.503.605 ;359635,50; $16.496.796.860.955.000 ;16496796860,96;37;Brazil;2004; 18.087 ;Superunicorn;21;45869,87953;9719,878476
Startup_1112;E-commerce;6; $44.276.879.506 ;44276,88; $22.130.675.505.006 ;22130675,51;46;India;2019; 4.255 ;Superunicorn;6;498,8246433;962,5408588
Startup_1113;EdTech;5; $81.861.980.923 ;81861,98; $40.544.233.377.263.500 ;40544233377,26;13;Australia;2012; 13.458 ;Superunicorn;13;495274,4981;6297,075456
Startup_1114;SaaS;5; $336.885.924.576 ;336885,92; $5.136.997.352.881.290 ;5136997352,88;44;UK;2021; 652 ;Superunicorn;4;15247,47724;7656,498286
Startup_1115;Fintech;5; $81.485.716.655 ;81485,72; $171.756.270.989.345 ;171756270,99;26;China;2010; 10.906 ;Superunicorn;15;2106,808313;3134,066025
Startup_1116;Fintech;10; $45.409.438.215 ;45409,44; $1.521.554.144.352.840 ;1521554144,35;18;France;2016; 19.784 ;Superunicorn;9;33506,4426;2522,746568
Startup_1117;EdTech;1; $76.365.924.604 ;76365,92; $1.833.729.894.348.620 ;1833729894,35;14;Canada;2015; 2.333 ;Superunicorn;10;24011,41004;5454,7089
Startup_1118;EdTech;10; $22.570.434.334 ;22570,43; $8.207.560.333.821.900 ;8207560333,82;39;Australia;2002; 7.724 ;Superunicorn;23;363641,1086;578,7290855
Startup_1119;HealthTech;1; $433.590.310.024 ;433590,31; $9.728.927.874.928.270 ;9728927874,93;6;India;2020; 1.591 ;Superunicorn;5;22437,06573;72265,05167
Startup_1120;AI;9; $144.664.613.902 ;144664,61; $4.837.475.500.392.220 ;4837475500,39;16;UK;2012; 141 ;Superunicorn;13;33438,24523;9041,538369
Startup_1121;E-commerce;4; $126.088.078.572 ;126088,08; $2.771.743.744.600.240 ;2771743744,60;10;Australia;2009; 11.289 ;Superunicorn;16;21981,59959;12608,80786
Startup_1122;Biotech;9; $43.146.838.948 ;43146,84; $17.007.880.209.795.500 ;17007880209,80;37;Germany;2006; 1.357 ;Superunicorn;19;394185,0082;1166,130782
Startup_1123;E-commerce;10; $437.795.360.762 ;437795,36; $194.077.121.920.484 ;194077121,92;45;Germany;2018; 13.449 ;Superunicorn;7;442,3055699;9728,785795
Startup_1124;EdTech;9; $20.387.791.831 ;20387,79; $8.046.628.413.598.870 ;8046628413,60;30;Canada;2015; 8.289 ;Superunicorn;10;394677,7607;679,593061
Startup_1125;SaaS;4; $48.094.238.737 ;48094,24; $1.742.934.396.174.900 ;1742934396,17;43;Singapore;2016; 1.991 ;Superunicorn;9;36238,98304;1118,470668
Startup_1126;AI;3; $454.622.112.278 ;454622,11; $16.294.099.981.099.200 ;16294099981,10;49;Germany;2004; 2.533 ;Superunicorn;21;35839,97549;9278,002291
Startup_1127;Blockchain;8; $468.608.800.394 ;468608,80; $7.508.720.642.383.120 ;7508720642,38;35;Brazil;2006; 11.739 ;Superunicorn;19;16022,43071;13388,82287
Startup_1128;HealthTech;3; $171.584.243.885 ;171584,24; $8.120.631.402.365.440 ;8120631402,37;19;France;2013; 10.291 ;Superunicorn;12;47326,37237;9030,749678
Startup_1129;Fintech;1; $26.371.910.417 ;26371,91; $10.730.447.491.278.000 ;10730447491,28;41;Canada;2001; 5.648 ;Superunicorn;24;406888,2743;643,2173272
Startup_1130;Blockchain;10; $28.983.520.533 ;28983,52; $9.998.845.014.979.560 ;9998845014,98;21;Germany;2021; 1.433 ;Superunicorn;4;344982,7988;1380,167644
Startup_1131;HealthTech;10; $115.288.854.995 ;115288,85; $5.405.145.241.798.180 ;5405145241,80;29;Brazil;2015; 16.629 ;Superunicorn;10;46882,50181;3975,477758
Startup_1132;Biotech;9; $64.287.363.883 ;64287,36; $2.793.254.912.837.190 ;2793254912,84;47;UK;2022; 1.394 ;Superunicorn;3;43448,51705;1367,816253
Startup_1133;EdTech;5; $295.333.639.276 ;295333,64; $6.030.308.906.874.450 ;6030308906,87;2;UK;2019; 17.528 ;Superunicorn;6;20417,63203;147666,8196
Startup_1134;Biotech;3; $163.214.501.311 ;163214,50; $7.360.437.143.524.410 ;7360437143,52;38;USA;2010; 13.653 ;Superunicorn;15;45095,71067;4295,118456
Startup_1135;SaaS;7; $75.155.847.511 ;75155,85; $19.845.199.697.056.800 ;19845199697,06;35;Singapore;2020; 4.503 ;Superunicorn;5;264052,9672;2147,309929
Startup_1136;SaaS;10; $25.467.665.697 ;25467,67; $6.940.637.752.225.490 ;6940637752,23;3;Australia;2014; 11.366 ;Superunicorn;11;272526,4407;8489,221899
Startup_1137;EdTech;2; $38.024.611.693 ;38024,61; $16.508.993.151.356.200 ;16508993151,36;45;USA;2005; 13.707 ;Superunicorn;20;434164,9892;844,991371
Startup_1138;SaaS;9; $32.407.214.004 ;32407,21; $14.149.777.184.835.700 ;14149777184,84;33;USA;2017; 10.468 ;Superunicorn;8;436623,3017;982,036788
Startup_1139;HealthTech;8; $255.287.779.896 ;255287,78; $76.333.248.932.371 ;76333248,93;40;Singapore;2014; 4.324 ;Superunicorn;11;298,0086285;6382,194497
Startup_1140;Fintech;7; $229.357.016.601 ;229357,02; $1.075.951.143.852.990 ;1075951143,85;22;India;2017; 2.116 ;Superunicorn;8;4690,162973;10425,31894
Startup_1141;Biotech;2; $294.089.140.838 ;294089,14; $11.675.009.522.278.400 ;11675009522,28;44;USA;2006; 549 ;Superunicorn;19;39697,88004;6683,84411
Startup_1142;EdTech;2; $202.226.082.584 ;202226,08; $39.216.325.451.494.800 ;39216325451,49;13;Canada;2000; 9.266 ;Superunicorn;25;193922,1822;15555,85251
Startup_1143;Biotech;5; $307.707.396.679 ;307707,40; $7.171.280.806.200.000 ;7171280806,20;22;UK;2019; 9.229 ;Superunicorn;6;23304,51974;13986,69985
Startup_1144;EdTech;3; $352.459.914.807 ;352459,91; $8.345.803.831.333.150 ;8345803831,33;30;USA;2003; 9.187 ;Superunicorn;22;23677,73191;11748,66383
Startup_1145;HealthTech;1; $112.877.343.624 ;112877,34; $4.289.980.582.534.250 ;4289980582,53;17;France;2012; 5.994 ;Superunicorn;13;38004,68338;6639,843743
Startup_1146;Biotech;2; $43.920.667.857 ;43920,67; $11.012.138.012.080.600 ;11012138012,08;32;Germany;2011; 2.917 ;Superunicorn;14;250726,9272;1372,520871
Startup_1147;HealthTech;7; $74.925.342.346 ;74925,34; $19.966.497.413.525.100 ;19966497413,53;20;UK;2018; 10.914 ;Superunicorn;7;266484,2343;3746,267117
Startup_1148;Biotech;1; $379.472.946.445 ;379472,95; $683.498.559.427.775 ;683498559,43;41;UK;2022; 895 ;Superunicorn;3;1800,178624;9255,437718
Startup_1149;E-commerce;2; $45.211.232.898 ;45211,23; $1.560.951.654.898.830 ;1560951654,90;2;UK;2000; 3.888 ;Superunicorn;25;34524,74847;22605,61645
Startup_1150;AI;1; $384.605.250.826 ;384605,25; $16.333.393.893.030.100 ;16333393893,03;26;UK;2013; 9.135 ;Superunicorn;12;42466,94306;14792,50965
Startup_1151;E-commerce;9; $27.047.176.027 ;27047,18; $8.547.302.181.510.030 ;8547302181,51;10;India;2017; 13.685 ;Superunicorn;8;316013,5877;2704,717603
Startup_1152;HealthTech;9; $241.436.382.148 ;241436,38; $7.706.761.532.673.630 ;7706761532,67;16;China;2007; 19.279 ;Superunicorn;18;31919,46478;15089,77388
Startup_1153;HealthTech;5; $172.942.789.502 ;172942,79; $7.332.197.536.678.610 ;7332197536,68;19;USA;2005; 5.698 ;Superunicorn;20;42395,66515;9102,252079
Startup_1154;AI;4; $377.687.016.575 ;377687,02; $16.282.267.405.582.600 ;16282267405,58;37;Canada;2006; 1.983 ;Superunicorn;19;43109,47691;10207,7572
Startup_1155;EdTech;4; $216.262.529.073 ;216262,53; $6.177.030.712.634.720 ;6177030712,63;32;Germany;2013; 8.478 ;Superunicorn;12;28561,64901;6758,204034
Startup_1156;Biotech;10; $482.804.890.322 ;482804,89; $15.871.336.508.841.700 ;15871336508,84;12;India;2005; 8.852 ;Superunicorn;20;32872,18921;40233,74086
Startup_1157;Biotech;6; $393.730.767.983 ;393730,77; $8.113.515.161.584.520 ;8113515161,58;26;China;2016; 16.024 ;Superunicorn;9;20605,75929;15143,49108
Startup_1158;HealthTech;1; $73.932.289.198 ;73932,29; $32.749.431.360.211.100 ;32749431360,21;21;Germany;2010; 1.858 ;Superunicorn;15;442964,2012;3520,5852
Startup_1159;EdTech;10; $210.617.942.491 ;210617,94; $4.607.917.081.394.620 ;4607917081,39;38;UK;2013; 4.091 ;Superunicorn;12;21877,08421;5542,577434
Startup_1160;AI;5; $211.213.476.482 ;211213,48; $9.805.022.550.253.830 ;9805022550,25;26;Brazil;2012; 7.453 ;Superunicorn;13;46421,334;8123,595249
Startup_1161;Fintech;1; $466.890.357.812 ;466890,36; $13.526.446.561.628.500 ;13526446561,63;31;Australia;2002; 3.629 ;Superunicorn;23;28970,35556;15060,97928
Startup_1162;E-commerce;7; $34.390.638.844 ;34390,64; $5.717.023.048.007.690 ;5717023048,01;24;USA;2001; 9.129 ;Superunicorn;24;166236,7682;1432,943285
Startup_1163;SaaS;10; $398.353.345.934 ;398353,35; $10.375.969.580.723.200 ;10375969580,72;38;France;2019; 15.887 ;Superunicorn;6;26046,15057;10482,98279
Startup_1164;AI;2; $189.032.491.872 ;189032,49; $6.958.911.558.329.060 ;6958911558,33;23;Australia;2013; 6.006 ;Superunicorn;12;36812,30913;8218,803994
Startup_1165;Fintech;9; $355.903.332.035 ;355903,33; $7.246.597.131.266.690 ;7246597131,27;29;India;2022; 18.874 ;Superunicorn;3;20360,13877;12272,52869
Startup_1166;AI;2; $84.720.429.367 ;84720,43; $27.555.007.924.756.500 ;27555007924,76;18;India;2019; 15.681 ;Superunicorn;6;325245,3205;4706,69052
Startup_1167;AI;2; $31.074.074.191 ;31074,07; $8.852.918.681.956.610 ;8852918681,96;33;China;2000; 456 ;Superunicorn;25;284896,2628;941,6386118
Startup_1168;Blockchain;6; $31.929.352.003 ;31929,35; $1.134.381.955.042.840 ;1134381955,04;40;Germany;2015; 12.587 ;Superunicorn;10;35526,87275;798,2338001
Startup_1169;AI;3; $274.373.062.021 ;274373,06; $6.235.117.152.174.670 ;6235117152,17;12;USA;2021; 12.853 ;Superunicorn;4;22723,96107;22864,42184
Startup_1170;Blockchain;2; $200.731.133.491 ;200731,13; $31.727.215.606.251.600 ;31727215606,25;26;India;2022; 8.198 ;Superunicorn;3;158057,2696;7720,428211
Startup_1171;SaaS;9; $43.471.810.127 ;43471,81; $15.037.976.007.558.300 ;15037976007,56;19;Australia;2008; 14.838 ;Superunicorn;17;345923,772;2287,990007
Startup_1172;Blockchain;5; $31.960.274.188 ;31960,27; $6.588.271.178.537.080 ;6588271178,54;48;Singapore;2012; 19.159 ;Superunicorn;13;206138,3823;665,8390456
Startup_1173;Biotech;7; $40.322.228.103 ;40322,23; $6.385.752.104.015.980 ;6385752104,02;32;France;2020; 11.647 ;Superunicorn;5;158367,0368;1260,069628
Startup_1174;SaaS;6; $3.312.137.503 ;3312,14; $842.822.123.011.217 ;842822123,01;46;Brazil;2005; 1.553 ;Superunicorn;20;254463,7142;72,0029892
Startup_1175;Blockchain;8; $208.936.161.787 ;208936,16; $4.472.560.027.735.760 ;4472560027,74;10;USA;2016; 10.996 ;Superunicorn;9;21405,34723;20893,61618
Startup_1176;SaaS;9; $139.942.748.343 ;139942,75; $6.776.477.029.057.710 ;6776477029,06;41;USA;2010; 12.135 ;Superunicorn;15;48422,20956;3413,237764
Startup_1177;AI;8; $430.495.872.596 ;430495,87; $17.599.455.888.613.500 ;17599455888,61;20;Australia;2012; 4.209 ;Superunicorn;13;40880,82259;21524,79363
Startup_1178;Fintech;4; $224.206.142.263 ;224206,14; $7.775.391.860.059.750 ;7775391860,06;2;China;2010; 7.925 ;Superunicorn;15;34678,65588;112103,0711
Startup_1179;EdTech;5; $406.598.306.294 ;406598,31; $8.227.629.018.404.070 ;8227629018,40;21;France;2007; 19.834 ;Superunicorn;18;20234,27617;19361,82411
Startup_1180;HealthTech;10; $43.236.836.277 ;43236,84; $9.882.669.504.725.960 ;9882669504,73;23;France;2004; 1.671 ;Superunicorn;21;228569,5976;1879,862447
Startup_1181;Blockchain;4; $20.853.561.129 ;20853,56; $7.695.869.160.438.030 ;7695869160,44;43;Singapore;2009; 12.139 ;Superunicorn;16;369042,4028;484,9665379
